00AI               20231227                                                                                   
0601AIA0N       20240101008600100000100000 0000000000002269   
0601AIA0N       20240101008700100000100000 0000000000002270   
0601AIA0N       20240101008800100000100000 0000000000002270   
0601AIA0N       20240101008900100000100000 0000000000002270   
0601AIA0N       20240101009000100000100000 0000000000002271   
0601AIA0N       20240101009100100000100000 0000000000002271   
0601AIA0N       20240101009200100000100000 0000000000002272   
0601AIA0N       20240101009300100000100000 0000000000002272   
0601AIA0N       20240101009400100000100000 0000000000002272   
0601AIA0N       20240101009500100000100000 0000000000002273   
0601AIA0N       20240101009600100000100000 0000000000002273   
0601AIA0N       20240101009700100000100000 0000000000002273   
0601AIA0N       20240101009800100000100000 0000000000002274   
0601AIA0N       20240101009900100000100000 0000000000002274   
0601AIA0N       20240101010000100000100000 0000000000002274   
0601AIA0N       20240101010100100000100000 0000000000002274   
0601AIA0N       20240101010200100000100000 0000000000002275   
0601AIA0N       20240101010300100000100000 0000000000002275   
0601AIA0N       20240101010400100000100000 0000000000002275   
0601AIA0N       20240101010500100000100000 0000000000002276   
0601AIA0N       20240101010600100000100000 0000000000002276   
0601AIA0N       20240101010700100000100000 0000000000002276   
0601AIA0N       20240101010800100000100000 0000000000002276   
0601AIA0N       20240101010900100000100000 0000000000002277   
0601AIA0N       20240101011000100000100000 0000000000002277   
0601AIA0N       20240101011100100000100000 0000000000002277   
0601AIA0N       20240101011200100000100000 0000000000002277   
0601AIA0N       20240101011300100000100000 0000000000002278   
0601AIA0N       20240101011400100000100000 0000000000002278   
0601AIA0N       20240101011500100000100000 0000000000002278   
0601AIA0N       20240101011600100000100000 0000000000002278   
0601AIA0N       20240101011700100000100000 0000000000002279   
0601AIA0N       20240101011800100000100000 0000000000002279   
0601AIA0N       20240101011900100000100000 0000000000002279   
0601AIA0N       20240101012000100000100000 0000000000002279   
0601AIA0N       20240101012100100000100000 0000000000002279   
0601AIA0N       20240101012200100000100000 0000000000002280   
0601AIA0N       20240101012300100000100000 0000000000002280   
0601AIA0N       20240101012400100000100000 0000000000002280   
0601AIA0N       20240101012500100000100000 0000000000002280   
0601AIA0N       20240101012600100000100000 0000000000002280   
0601AIA0N       20240101012700100000100000 0000000000002281   
0601AIA1N       20240101000000100000020000 0100000000000000   
0601AIA1N       20240101000020100000005000 0100000000000000   
0601AIA1N       20240101000025100000005000 0100000000000000   
0601AIA1N       20240101000030100000005000 0100000000000000   
0601AIA1N       20240101000035100000005000 0100000000000000   
0601AIA1N       20240101000040100000005000 0100000000000000   
0601AIA1N       20240101000045100000005000 0100000000000000   
0601AIA1N       20240101000050100000005000 0100000000000000   
0601AIA1N       20240101000055100000005000 0100000000000000   
0601AIA1N       20240101000060100000005000 0100000000000000   
0601AIA1N       20240101000065100000005000 0100000000000000   
0601AIA1N       20240101000070100000005000 0100000000000000   
0601AIA1N       20240101000075100000005000 0100000000000000   
0601AIA1N       20240101000080100000005000 0100000000000000   
0601AIA1N       20240101000085100000005000 0100000000000000   
0601AIA1N       20240101000090100000005000 0100000000000000   
0601AIA1N       20240101000095100000005000 0100000000000000   
0601AIA1N       20240101000100100000005000 0100000000000000   
0601AIA1N       20240101000105100000005000 0100000000000000   
0601AIA1N       20240101000110100000005000 0100000000000000   
0601AIA1N       20240101000115100000005000 0100000000000000   
0601AIA1N       20240101000120100000005000 0100000000000000   
0601AIA1N       20240101000125100000005000 0100000000000000   
0601AIA1N       20240101000130100000005000 0100000000000000   
0601AIA1N       20240101000135100000005000 0100000000000000   
0601AIA1N       20240101000140100000005000 0100000000000000   
0601AIA1N       20240101000145100000005000 0100000000000007   
0601AIA1N       20240101000150100000005000 0100000000000013   
0601AIA1N       20240101000155100000005000 0100000000000019   
0601AIA1N       20240101000160100000005000 0100000000000018   
0601AIA1N       20240101000165100000005000 0100000000000024   
0601AIA1N       20240101000170100000005000 0100000000000029   
0601AIA1N       20240101000175100000005000 0100000000000039   
0601AIA1N       20240101000180100000005000 0100000000000044   
0601AIA1N       20240101000185100000005000 0100000000000053   
0601AIA1N       20240101000190100000005000 0100000000000057   
0601AIA1N       20240101000195100000005000 0100000000000066   
0601AIA1N       20240101000200100000005000 0100000000000074   
0601AIA1N       20240101000205100000005000 0100000000000082   
0601AIA1N       20240101000210100000005000 0100000000000089   
0601AIA1N       20240101000215100000005000 0100000000000097   
