00GE               20231025                                                                                   
0601GEA0N       20240101003375000000010000 0000000000003095   
0601GEA0N       20240101003385000000010000 0000000000003098   
0601GEA0N       20240101003395000000010000 0000000000003100   
0601GEA0N       20240101003405000000010000 0000000000003103   
0601GEA0N       20240101003415000000010000 0000000000003105   
0601GEA0N       20240101003425000000010000 0000000000003108   
0601GEA0N       20240101003435000000010000 0000000000003110   
0601GEA0N       20240101003445000000010000 0000000000003113   
0601GEA0N       20240101003455000000010000 0000000000003115   
0601GEA0N       20240101003465000000010000 0000000000003117   
0601GEA0N       20240101003475000000010000 0000000000003120   
0601GEA0N       20240101003485000000010000 0000000000003122   
0601GEA0N       20240101003495000000010000 0000000000003125   
0601GEA0N       20240101003505000000010000 0000000000003127   
0601GEA0N       20240101003515000000010000 0000000000003129   
0601GEA0N       20240101003525000000010000 0000000000003132   
0601GEA0N       20240101003535000000010000 0000000000003134   
0601GEA0N       20240101003545000000010000 0000000000003136   
0601GEA0N       20240101003555000000010000 0000000000003139   
0601GEA0N       20240101003565000000010000 0000000000003141   
0601GEA0N       20240101003575000000010000 0000000000003143   
0601GEA0N       20240101003585000000010000 0000000000003145   
0601GEA0N       20240101003595000000010000 0000000000003148   
0601GEA0N       20240101003605000000010000 0000000000003150   
0601GEA0N       20240101003615000000010000 0000000000003152   
0601GEA0N       20240101003625000000010000 0000000000003154   
0601GEA0N       20240101003635000000010000 0000000000003157   
0601GEA0N       20240101003645000000010000 0000000000003159   
0601GEA0N       20240101003655000000010000 0000000000003161   
0601GEA0N       20240101003665000000010000 0000000000003163   
0601GEA0N       20240101003675000000010000 0000000000003165   
0601GEA0N       20240101003685000000010000 0000000000003167   
0601GEA0N       20240101003695000000010000 0000000000003170   
0601GEA0N       20240101003705000000010000 0000000000003172   
0601GEA0N       20240101003715000000010000 0000000000003174   
0601GEA0N       20240101003725000000010000 0000000000003176   
0601GEA0N       20240101003735000000010000 0000000000003178   
0601GEA0N       20240101003745000000010000 0000000000003180   
0601GEA0N       20240101003755000000010000 0000000000003182   
0601GEA0N       20240101003765000000010000 0000000000003184   
0601GEA0N       20240101003775000000010000 0000000000003186   
0601GEA0N       20240101003785000000010000 0000000000003188   
0601GEA0N       20240101003795000000010000 0000000000003190   
0601GEA0N       20240101003805000000010000 0000000000003192   
0601GEA0N       20240101003815000000010000 0000000000003194   
0601GEA0N       20240101003825000000010000 0000000000003196   
0601GEA0N       20240101003835000000010000 0000000000003198   
0601GEA0N       20240101003845000000010000 0000000000003200   
